text,kobert_max_prob,kobert_pred,groq_label,label,timestamp
"마뗑킴 커브 지퍼 바게트백 블랙 내돈내산 후기!(착샷있음). 오늘은 여름맞이 숄더백 구매 후기에요^^ 마뗑킴 커브 지퍼 바게트백 블랙!!!!!!! 여름만되면 숄더백에... ,,,, 주저리주저리… 여름이라서 숄더백 하나 샀다는 저의 핑계입니다~~~~~ 얼마 전에 백화점 갔다가 마뗑킴...",0.6177,negative,positive,1,2026-04-28 16:59:03
마뗑킴 인스타그램 아이브 리즈.ver. 260428 여름냥이,0.5493,negative,neutral,2,2026-04-28 16:59:03
마뗑킴 아이브 리즈. 2026.04.28,0.5317,negative,neutral,2,2026-04-28 16:59:03
뷔스티에 프릴 베이지 그린 마뗑킴 볼캡 그레이 블루 옷 착장 정보. 트리플에스 #코토네 #트리플에스코토네 #코토네공항패션 #코토네체크원피스 #코토네체크나시블라우스 #코토네체크뷔스티에 #뷔스티에나시원피스 #마뗑킴 #코토네볼캡 #코토네마뗑킴볼캡,0.5974,negative,neutral,2,2026-04-28 16:59:03
마뗑킴 가방 지갑 매장에서 구경 및 추천 | 여주 아울렛.... 마뗑킴 매장 우리나라에 이 디자이너 브랜드 모르는 사람 거의 없을 것 같은데요. 마뗑킴 Matin Kim! 매장에 가서 직접 둘러보고 들어 본 마뗑킴 가방 그리고 지갑 궁금하시다면 아래로 고고 제가 방문했던 매장은...,0.4255,neutral,positive,1,2026-04-28 16:59:03
키작녀 봄 슬랙스 코디 | 비율 좋아 보이는 데일리룩. 와이드 슬랙스지만 핏이 과하지 않아서 부담 없이 데일리로 입기 좋은 느낌이에요 이 슬랙스 바지 진짜로다가 색감 깡패 핏 깡패임 함께 코디한 가방은 (데일리룩에 자주 등장하는) '마뗑킴 아코디언 미니백...,0.553,negative,positive,1,2026-04-28 16:59:03
25.12.10 그 이후. 얼마 전에 꿈에 오빠가 나왔다 꿈에서 그 여자에게 받은 마뗑킴 가방을 들고나와 만났는데 별로 행복하거나 푸근하거나 좋진 않았다 뭔가 미래를 잠시 찍어 맛본 그런 느낌의 꿈이었다. 역시 나의 예상이 맞는...,0.6231,neutral,neutral,2,2026-04-28 16:59:03
"마뗑킴 BACK LOGO ESSENTIAL HOODY ZIP UP 40%할인 정보.... 이번에 본 마뗑킴 후드집업은 블랙 컬러 특유의 안정감과 데일리한 분위기가 잘 살아 있어서, 유행을... 이런 점 때문에 마뗑킴 후드집업은 단순한 기본템이라기보다, 은근히 스타일의 완성도를 올려주는...",0.5287,neutral,positive,1,2026-04-28 16:59:03
[뒷스패치] 최강희 루에브르 가방부터 분크 백팩까지 30대.... 힙한 감성 가득한 마뗑킴 버클 스트랩 숄더백의 매력 조금 더 힙하고 개성 있는 스타일을 원하신다면 마뗑킴의 버클 스트랩 숄더백을 눈여겨보시길 바라요. 투박한 듯 세련된 은색 버클 포인트가 스트랩을...,0.5827,negative,positive,1,2026-04-28 16:59:03
[2월의 일상:2월23일 생일 기념]_콘피에르 셀렉션 스타필드.... 굿굿 마뗑킴 그리고! 남자친구가 지갑을 선물로 줬어욥!! 음하하 제가 항상 카드 지갑에 카드를 빵빵하게 가득 들고 다녀서... 보다못한 남자친구가 선물로 지갑을 줬어욥 그리고 지금까지 찍은 제 사진들도 다...,0.5119,neutral,neutral,2,2026-04-28 16:59:03
을지로 맛집 밥집 추천 :: 팔팔너구리해장 을지로3가역점 후기. 시즈니 모임에 포카샷 놓칠 수 없죠~ 제노야 해찬아~ 제노 도쿄 마뗑킴 갔던데 성수 마뗑킴은 안해주니...? 만두가 주문한 얼큰해장국~~ 고기가 듬뿍 들어가있구요. 신라면 정도의 맵기라고 되어있었는데...,0.6366,negative,neutral,2,2026-04-28 16:59:03
"월세 1억/1300만원 한남동 집 사는 재테크 고수인 몸짱.... 감탄한 ‘마뗑킴’ 김다인 대표, 전현무 놓친 그 집까지 #소유 #씨스타 #한남동 #연예인집 #월세1300 #재테크 #연예인라이프 #부동산 #아이돌근황 #이창섭 #연예이슈 #현실연애관 #투자 #연예뉴스 #핫이슈",0.5913,negative,neutral,2,2026-04-28 16:59:03
"기흥 롯데아울렛 마뗑킴, 안스베이커리, 뉴발란스 소소한 쇼핑. 마뗑킴 가방이랑 의류들 할인 중이었는데 예쁘지만 막상 구매까진 안 가는 브랜드... 근데 또 이상하게 보이면 구경은 열심히 함^^; 귀여운 디자인의 마뗑킴 바람막이가 있었는데 가격은 16만 2천 원. 여기서 50...",0.6657,neutral,negative,0,2026-04-28 16:59:03
"마뗑킴 티셔츠 왔어요. 마뗑킴 【제품명】 로고티 【가격】 21,660원 【배송비】 【원산지 및 관부가세】 【오늘샀어요 링크 첨부 or 주문내역】 【내스펙 사이즈정보】: 오오 【제품 리뷰 300타 이상 +】 네이버에서 가격 떨어져서 산 마뗑킴...",0.5209,negative,neutral,2,2026-04-28 16:59:10
"[285] 아식스 마뗑킴 젤 소노마 글레이셔 그레이 화이트 젤소노마 Matin Kim. 가격 299,000원, [285] 아식스 마뗑킴 젤 소노마 글레이셔 그레이 화이트 젤소노마 Matin Kim,",0.6056,positive,neutral,2,2026-04-28 16:59:10
"마뗑킴 퀄팅 아코디언 카드지갑 풀박. 4 장 이미지 더보기 〉 상품 정보 마뗑킴 퀄팅 아코디언 카드지갑 풀박 45,000원 시세조회 결제 혜택 N KB국민카드 12개월 5% 특별 할부 수수료 페이코 최대 2만원 즉시할인 결제 혜택 받기 〉 상품 상태 중고, 구성품...",0.4923,neutral,neutral,2,2026-04-28 16:59:10
"마뗑킴 퀼팅 자켓. 1 장 이미지 더보기 〉 상품 정보 마뗑킴 퀼팅 자켓 70,000원 시세조회 결제 혜택 N KB국민카드 12개월 5% 특별 할부 수수료 페이코 최대 2만원 즉시할인 결제 혜택 받기 〉 상품 상태 중고, 구성품 없음 거래 방법...",0.592,neutral,neutral,2,2026-04-28 16:59:10
마뗑킴 티셔츠 에스 입어보고 싶어요. 【쇼핑몰】 : 【브랜드】 : 【제품명】 : 【가격】 : 2만2천원대 【상품이미지】: 가격 올라버렸네요ㅜㅠ 여러개하신분 계시면 S 보내주시면 감사하겠습니당♡,0.5963,positive,neutral,2,2026-04-28 16:59:10
마뗑킴 로고 코팅 점퍼 핑크 프리사이즈. 80.000 8000 3000 프리사이즈(오버핏) 펑없이꼭하실분,0.5524,negative,neutral,2,2026-04-28 16:59:10
마뗑킴. 마뗑킴 사이즈 (실측 기준) - 가로: 약 40 ~ 45 cm - 세로: 약 28 ~ 32 cm - 폭(밑면): 약 12 ~ 15 cm - 스트랩 길이... 상세 - 마뗑킴 인기 모델인 빅 코팅 - 은은한 광택감 있는 블랙 컬러로 스트릿하면서도 고급스러운 분위기...,0.544,negative,neutral,2,2026-04-28 16:59:10
네이버 마뗑킴 티셔츠 샀어요. 【쇼핑몰】 네이버 【브랜드】 마뗑킴 【상품명】 스몰로고티셔츠 【가격】 21600 【할인코드】 【주문날짜】 4.25 【상품이미지】 【주문서이미지】 당일 주문 날짜가 보이도록 스크린샷 【주문리뷰】 스몰로...,0.539,neutral,neutral,2,2026-04-28 16:59:10
"ㄴㅇㅂ 마뗑킴 티셔츠 샀어요. 【쇼핑몰】 네이버 【브랜드】 마뗑킴 【제품명】 스몰로고 티셔츠세트 【할인코드】 【가격】 21,660원 【주문날짜】 4.25 【상품이미지】 【주문날짜 보이게 주문내역첨부】 【주문리뷰+쇼핑팁】 오전에 가격...",0.5404,neutral,neutral,2,2026-04-28 16:59:10
마뗑킴 티셔츠 샀어요. 【쇼핑몰】마뗑킴 【브랜드】마뗑킴 【상품명】티셔츠 【가격】 【할인코드】 【주문날짜】 【상품이미지】 【주문서이미지】 당일 주문 날짜가 보이도록 스크린샷 【주문리뷰】 기본티라 잘 입을거 같아서 좋은...,0.525,negative,neutral,2,2026-04-28 16:59:10
마뗑킴 티셔츠 샀어요. 【쇼핑몰】 네이버 【브랜드】 마뗑킴 【제품명】 스몰로고 티셔츠 【할인코드】 【가격】 21.660 【주문날짜】 4.25. 【상품이미지】 【주문날짜 보이게 주문내역첨부】 【주문리뷰+쇼핑팁】 레이어드하기 좋을것...,0.5345,neutral,neutral,2,2026-04-28 16:59:10
"ㄴㅇㅂ 마뗑킴 티셔츠 따사했어요~. 【쇼핑몰】 네이버 【브랜드】 마뗑킴 【제품명】 【할인코드】 【가격】 21,600 【주문날짜】 26.4.25 【상품이미지】 【주문날짜 보이게 주문내역첨부】 【주문리뷰+쇼핑팁】 딸내미 사주고싶어서 들어갔는데...",0.4626,negative,neutral,2,2026-04-28 16:59:10
저도 마땡이사봄. 【쇼핑몰】 네이벙 마뗑킴 【브랜드】 마뗑킴 【상품명】 티셔츠3종 【가격】 21660 【할인코드】 【주문날짜】 【상품이미지】 【주문서이미지】 당일 주문 날짜가 보이도록 스크린샷 【주문리뷰】 딜공템 핫하길래...,0.5638,neutral,neutral,2,2026-04-28 16:59:10
마뗑킴 따샀ㅋ. 【쇼핑몰】 ㄴㅇㅂ스토어 【브랜드】 마뗑킴 【상품명】 스몰로고 티셔츠 【가격】 21660 【할인코드】 【주문날짜】 4/25 【상품이미지】 【주문서이미지】 당일 주문 날짜가 보이도록 스크린샷 【주문리뷰】...,0.664,neutral,neutral,2,2026-04-28 16:59:10
마뗑킴 따사했어요~~. 【쇼핑몰】 네이버 【브랜드】 마뗑킴 【제품명】 【할인코드】 【가격】 【주문날짜】 【상품이미지】 【주문날짜 보이게 주문내역첨부】 【주문리뷰+쇼핑팁】 따사했어요ㅎㅎㅎ!!! 좋아요. 댓글로 함께 소통해요.,0.6219,negative,neutral,2,2026-04-28 16:59:10
마뗑킴 다시 샀어요~. 【쇼핑몰】 네이버 【브랜드】 마뗑킴 【상품명】 스몰 로고 【가격】 21660원 【할인코드】 【주문날짜】 4.25 【상품이미지】 【주문서이미지】 당일 주문 날짜가 보이도록 스크린샷 【주문리뷰】 가격 더 내려가서...,0.617,negative,neutral,2,2026-04-28 16:59:10
