text,original_label,predicted_label
자고 가라며..,2,0
타이틀곡 솔직히 별로지 않아요? 언니도 그렇게 느끼죠? 그냥 회사서 시키니까 하긴 하는데.. 너무 별로야.. ,2,0
듣고 보니 일리가 있네..,2,0
그게 아니라..,2,0
그건 아니지만.. 솔직히 제가 뭘 잘 못한 건지 모르겠습니다. ,2,0
워낙 돌려대니까 쉬고 싶을 수도 있고.. ,2,0
그냥 단순한 타박상이라고..,2,0
그게 수상하다는 거야 이 멍청아! 다른 신문사는 어때.. ,2,0
모르겠어. 그냥 묻자니 특종이 울고 터트리자니 걱정되고.. ,2,0
얘기 할게..,2,0
싫으면 관두고..,2,0
그놈의 광고는..,2,0
이렇게 가다간 스포츠는 일간지로 통합하고 엔터테인먼트는 인터넷으로 살림 차려 나가야 될지도 모른대.,2,0
까놓고 스포츠야 진짜만 다루니 장난질 못 치지만 엔터테인먼트는 다르잖아.. 그러지 말고 애들 좀 쪼아봐. 특종 몇 개 건져 광고 채우면 영감도 생각을 바꾸겠지. ,2,0
유학은 아니고.. 실은 작은 형이 뉴욕서 작은 스튜디오를 하는데 ,2,0
자꾸 들어오라고 하네..,2,0
고민 중이야. 일 하면서 시야도 넓히면 좋을 것 같긴 한데..,2,0
이 옷이 어때서.. 사돈 남말 한다.. ,2,0
까먹고 있다거나 미처 못 한 얘기 있냐고.. ,2,0
좀 막히네..,2,0
흐흐 용케 잘 버티네.. 가만있자 체육은 저번 주에 나가리 됐고.. 이제 너하고 레저하고 편집만 남은건가?,2,0
연예부 사활이 걸린 문제 일수도 있다고..,2,0
잘 생각해. 추측기사는 양날의 검이야. 까딱 잘못 털면 쇠고랑이라고..,2,1
그럼 뭔데..,2,0
오랜만에 아빠한테 전화 왔으면 받기 싫어도 받게 가르쳐야지!,2,1
끝나면 1층에서 바로 헤어진다. 그리고 터미널에서 다시 만나 같이 올라간다.  ,2,0
벌써부터 피비린내가 나는 구만..,2,0
