text,original_label,predicted_label
하리보 중에 제일 맛있어요 안질겨서 너무 젛구여 계속 먹으면 좀 질리는 맛이지만 다른 젤리 먹어사먀 먹으니까 한 봉지 금방 다 먹네요 두 봉지 사길 잘했어요,1,0
생각보다 보푸라기가 많이 일어나네요...,1,0
가슴이좀 큰편이고 쳐져 사봤는데 좀 작네여 가슴큰분들 참고하세욤^^,0,1
행사로 저렴하게 잘샀어요 급하게 주문했는데 빠르게 왔어요,1,0
지저분한게 많이 묻어있었어요,0,1
"이게,뭔맛인지ㅠ사달라고해서 맛보여주려고주문했는데,이런맛보려구 직구했나싶넉 나원참,경험했으니 두번다신 ,화가나네",0,1
아주좋아요 싸고 맛있어요,0,1
잘 찝히지도않고 별로에요,0,1
잘 안맞아요 접착력도 약하고 판매담당자랑 통화 해야겠어요,0,1
많이 찌그러져서 왔네요. 기본 속 포장은 되어있어야하지 않을까요? 교환번거로워 그냥 씁니다.,0,2
건조해서 눅스오일을 섞어 사용중인데 오일때문인지는 모르겠지만 지속력은 좀 떨어지는 것 같아요.,1,0
한번신고살다까져서못신겠어요ㅠ살이완전화상당한것처럼다쓸려서한달이넘어새살이돋긴했는데검은색으로변했네요신발너무별로예요돈아깝고상처만남았어요,0,1
계란 집 같이 아늑합니다. 들고다니기 좋아요!,1,2
이음새가 너무 허술해서 조립하기 너무 힘들어요,0,1
상태가 안좋지만 판매자님께서 매실청 담는데는 문제없다하여 믿고 일단 담습니다~ ㅠㅠ 불안불안하지만요,0,1
프로포즈 선물인데 와이프가 넘좋아라해서 저도 기분이 넘좋네요ㅋ,1,0
고기가 많이 질겨요,0,1
침대밑에 수납하기 좋은 사이즈네요,0,1
ㅜㅜ차량 사이즈에 안맞아요,0,1
마음에 듭니다 가격은 좀 있는 편이지만 농위에 올릴상자를 종이로 하기엔 너무 약할것같고 그렇다고 나무상자를 올리는건 부담스러워서 구매했어요 반투명이라 일일이 꺼내보지않아도 내용물을 알 수 있어서 좋습니다 배송도 빠르네요,1,0
"더샘은 정말 몇년째, 몇 통째 쓰는건지 모르겠네요. 이거 없으면 죽을지도 몰라요... 세정력도 좋고, 산뜻한 마무리감, 가격도 착함. 완전 추천합니다. 그리고 저번에 사고 이번에 또 산건데, 빠른 배송이라 좋았습니다😁",1,0
싸고좋아요,0,1
찍찍이가 양쪽에 있어서 불편하다는 후기봤는데 전 괜찮던데요. 재질이 천이 아니라서 물 뭍으면 바로 말라서 좋을것같아요,1,0
가격대비별로애요 괜히삿어요,0,1
노트8인대 다맘에드는대 전원키쪽이 잘 안맞아서 잘안눌러지네요,0,1
너무별로에요..,0,2
받자마자 아이랑 같이 아이스크림 만들어먹었는데 실리콘으로 되어서 빼기도 편하고 좋았어요,1,0
완전 불친절하세요,0,1
저렴하게 받아서 기분은좋아요 근데 가방에 실리콘 같은게 좀 묻어있더라구요.. 그거말고는 괜찬은거같아요,1,0
광택만 내주고 폴리싱은 전혀 안되는거 같네요,0,1
너무얇아요 ㅜ 별로네요,0,1
처음주문해보는데 아이가 물고기있는 오뎅국 잘먹네요. 맛있대요 ㅋㅋㅋ 이것저것주문했는데 다먹여보고 또주문할께요,1,0
젓가락좀넣어주시면좋낫을템데,0,1
실망이네요 콩꽈배기라해서 굉장히 일반꽈배기랑 다를줄알았는데 너무평범해요,0,1
이쁘네용~~~,0,1
정품과 차이가 너무심해요 최악입니다,0,1
저렴하고 좋습니다. 비슷한 스펙의 밴드중 제일 저렴하니다. 현명한 소비를 한것 같아용 ㅋㅋㅋ 초록색은 상당히 짱짱하네요.,1,0
재구매 배송 완전 꽝입니다 매번 깨져서 오네요.!,0,1
